Player Name,Pos,Pick,Team
Ja'Marr Chase,WR,1,Cin
Bijan Robinson,RB,2,Atl
Saquon Barkley,RB,3,Phi
Jahmyr Gibbs,RB,4,Det
CeeDee Lamb,WR,5,Dal
Justin Jefferson,WR,6,Min
Nico Collins,,7,
Amon-Ra St. Brown,WR,8,Det
Christian McCaffrey,RB,9,SF
Malik Nabers,WR,10,NYG
Derrick Henry,RB,11,Bal
Drake London,WR,12,Atl
Brian Thomas Jr.,,13,
Ashton Jeanty,RB,14,LV
Josh Jacobs,RB,15,GB
Puka Nacua,,16,
Bucky Irving,,17,
A.J. Brown,WR,18,Phi
Jonathan Taylor,RB,19,Ind
De'Von Achane,,20,
Chase Brown,,21,
Ladd McConkey,,22,
Brock Bowers,,23,
Trey McBride,TE,24,Ari
George Kittle,TE,25,SF
Lamar Jackson,QB,26,Bal
Kyren Williams,,27,
Josh Allen,QB,28,Buf
Tee Higgins,WR,29,Cin
Jayden Daniels,,30,
Omarion Hampton,RB,31,LAC
Mike Evans,WR,32,TB
Jaxon Smith-Njigba,,33,
James Cook,RB,34,Buf
Jalen Hurts,QB,35,Phi
Terry McLaurin,WR,36,Was
Marvin Harrison Jr.,WR,37,Ari
Kenneth Walker III,,38,
Garrett Wilson,,39,
Chuba Hubbard,,40,
Alvin Kamara,RB,41,NO
Tyreek Hill,WR,42,Mia
Davante Adams,WR,43,LAR
James Conner,RB,44,Ari
DeVonta Smith,WR,45,Phi
TreVeyon Henderson,RB,46,NE
George Pickens,WR,47,Dal
Jaylen Waddle,WR,48,Mia
DK Metcalf,WR,49,Pit
Breece Hall,RB,50,NYJ
Xavier Worthy,,51,
Zay Flowers,WR,52,Bal
Joe Burrow,QB,53,Cin
Tony Pollard,RB,54,Ten
Tetairoa McMillan,WR,55,Car
RJ Harvey,RB,56,Den
Jameson Williams,,57,
Calvin Ridley,,58,
Courtland Sutton,,59,
DJ Moore,WR,60,Chi
David Montgomery,RB,61,Det
Travis Hunter,WR,62,Jax
Rome Odunze,WR,63,Chi
D'Andre Swift,RB,64,Chi
Isiah Pacheco,RB,65,KC
Chris Olave,WR,66,NO
Tyrone Tracy Jr.,RB,67,NYG
Sam LaPorta,TE,68,Det
Ricky Pearsall,,69,
Aaron Jones Sr.,RB,70,Min
Jordan Mason,RB,71,Min
Emeka Egbuka,WR,72,TB
T.J. Hockenson,,73,
Rashee Rice,,74,
Jaylen Warren,RB,75,Pit
Patrick Mahomes,QB,76,KC
Stefon Diggs,WR,77,NE
Zach Charbonnet,RB,78,Sea
Mark Andrews,TE,79,Bal
J.K. Dobbins,RB,80,Den
Jerry Jeudy,WR,81,Cle
Travis Kelce,TE,82,KC
Bo Nix,QB,83,Den
Jordan Addison,WR,84,Min
Tucker Kraft,TE,85,GB
Brock Purdy,QB,86,SF
Jakobi Meyers,WR,87,LV
Dak Prescott,QB,88,Dal
